mcs,qm,rate,snr_db,bler,n_blocks,n_errors
3,2,0.2451,-4.0,1.000000,100,100
3,2,0.2451,-3.0,1.000000,100,100
3,2,0.2451,-2.0,1.000000,100,100
3,2,0.2451,-1.0,0.075000,200,15
3,2,0.2451,0.0,0.000000,200,0
3,2,0.2451,1.0,0.000000,200,0
3,2,0.2451,2.0,0.000000,200,0
3,2,0.2451,3.0,0.000000,200,0
3,2,0.2451,4.0,0.000000,200,0
3,2,0.2451,5.0,0.000000,200,0
3,2,0.2451,6.0,0.000000,200,0
4,2,0.3008,-2.0,1.000000,100,100
4,2,0.3008,-1.0,1.000000,100,100
4,2,0.3008,0.0,0.010000,200,2
4,2,0.3008,1.0,0.000000,200,0
4,2,0.3008,2.0,0.000000,200,0
4,2,0.3008,3.0,0.000000,200,0
4,2,0.3008,4.0,0.000000,200,0
4,2,0.3008,5.0,0.000000,200,0
4,2,0.3008,6.0,0.000000,200,0
4,2,0.3008,7.0,0.000000,200,0
4,2,0.3008,8.0,0.000000,200,0
4,2,0.3008,9.0,0.000000,200,0
4,2,0.3008,10.0,0.000000,200,0
5,2,0.3701,-2.0,1.000000,100,100
5,2,0.3701,-1.0,1.000000,100,100
5,2,0.3701,0.0,1.000000,100,100
5,2,0.3701,1.0,0.000000,200,0
5,2,0.3701,2.0,0.000000,200,0
5,2,0.3701,3.0,0.000000,200,0
5,2,0.3701,4.0,0.000000,200,0
5,2,0.3701,5.0,0.000000,200,0
5,2,0.3701,6.0,0.000000,200,0
5,2,0.3701,7.0,0.000000,200,0
5,2,0.3701,8.0,0.000000,200,0
5,2,0.3701,9.0,0.000000,200,0
5,2,0.3701,10.0,0.000000,200,0
6,2,0.4385,-2.0,1.000000,100,100
6,2,0.4385,-1.0,1.000000,100,100
6,2,0.4385,0.0,1.000000,100,100
6,2,0.4385,1.0,0.960000,100,96
6,2,0.4385,2.0,0.000000,200,0
6,2,0.4385,3.0,0.000000,200,0
6,2,0.4385,4.0,0.000000,200,0
6,2,0.4385,5.0,0.000000,200,0
6,2,0.4385,6.0,0.000000,200,0
6,2,0.4385,7.0,0.000000,200,0
6,2,0.4385,8.0,0.000000,200,0
6,2,0.4385,9.0,0.000000,200,0
6,2,0.4385,10.0,0.000000,200,0
7,2,0.5137,1.0,1.000000,100,100
7,2,0.5137,2.0,0.480000,100,48
7,2,0.5137,3.0,0.000000,200,0
7,2,0.5137,4.0,0.000000,200,0
7,2,0.5137,5.0,0.000000,200,0
7,2,0.5137,6.0,0.000000,200,0
7,2,0.5137,7.0,0.000000,200,0
7,2,0.5137,8.0,0.000000,200,0
7,2,0.5137,9.0,0.000000,200,0
7,2,0.5137,10.0,0.000000,200,0
7,2,0.5137,11.0,0.000000,200,0
7,2,0.5137,12.0,0.000000,200,0
7,2,0.5137,13.0,0.000000,200,0
8,2,0.5879,1.0,1.000000,100,100
