mcs,qm,rate,snr_db,bler,n_blocks,n_errors
3,2,0.2451,-5.0,1.000000,100,100
3,2,0.2451,-4.0,1.000000,100,100
3,2,0.2451,-3.0,0.430000,100,43
3,2,0.2451,-2.0,0.000000,100,0
3,2,0.2451,-1.0,0.000000,100,0
3,2,0.2451,0.0,0.000000,100,0
3,2,0.2451,1.0,0.000000,100,0
3,2,0.2451,2.0,0.000000,100,0
4,2,0.3008,-4.0,1.000000,100,100
4,2,0.3008,-3.0,1.000000,100,100
4,2,0.3008,-2.0,0.670000,100,67
4,2,0.3008,-1.0,0.000000,100,0
4,2,0.3008,0.0,0.000000,100,0
4,2,0.3008,1.0,0.000000,100,0
4,2,0.3008,2.0,0.000000,100,0
4,2,0.3008,3.0,0.000000,100,0
4,2,0.3008,4.0,0.000000,100,0
5,2,0.3701,-4.0,1.000000,100,100
5,2,0.3701,-3.0,1.000000,100,100
5,2,0.3701,-2.0,1.000000,100,100
5,2,0.3701,-1.0,0.940000,100,94
5,2,0.3701,0.0,0.000000,100,0
5,2,0.3701,1.0,0.000000,100,0
5,2,0.3701,2.0,0.000000,100,0
5,2,0.3701,3.0,0.000000,100,0
5,2,0.3701,4.0,0.000000,100,0
7,2,0.5137,-1.0,1.000000,100,100
7,2,0.5137,0.0,1.000000,100,100
7,2,0.5137,1.0,0.420000,100,42
7,2,0.5137,2.0,0.000000,100,0
7,2,0.5137,3.0,0.000000,100,0
7,2,0.5137,4.0,0.000000,100,0
7,2,0.5137,5.0,0.000000,100,0
7,2,0.5137,6.0,0.000000,100,0
7,2,0.5137,7.0,0.000000,100,0
7,2,0.5137,8.0,0.000000,100,0
7,2,0.5137,9.0,0.000000,100,0
6,2,0.4385,-3.0,1.000000,100,100
6,2,0.4385,-2.0,1.000000,100,100
6,2,0.4385,-1.0,1.000000,100,100
6,2,0.4385,0.0,0.970000,100,97
6,2,0.4385,1.0,0.000000,100,0
6,2,0.4385,2.0,0.000000,100,0
6,2,0.4385,3.0,0.000000,100,0
6,2,0.4385,4.0,0.000000,100,0
6,2,0.4385,5.0,0.000000,100,0
6,2,0.4385,6.0,0.000000,100,0
8,2,0.5879,-1.0,1.000000,100,100
8,2,0.5879,0.0,1.000000,100,100
8,2,0.5879,1.0,1.000000,100,100
8,2,0.5879,2.0,0.500000,100,50
8,2,0.5879,3.0,0.000000,100,0
8,2,0.5879,4.0,0.000000,100,0
8,2,0.5879,5.0,0.000000,100,0
8,2,0.5879,6.0,0.000000,100,0
8,2,0.5879,7.0,0.000000,100,0
8,2,0.5879,8.0,0.000000,100,0
8,2,0.5879,9.0,0.000000,100,0
9,2,0.6631,-1.0,1.000000,100,100
9,2,0.6631,0.0,1.000000,100,100
9,2,0.6631,1.0,1.000000,100,100
9,2,0.6631,2.0,1.000000,100,100
9,2,0.6631,3.0,0.070000,100,7
9,2,0.6631,4.0,0.000000,100,0
9,2,0.6631,5.0,0.000000,100,0
9,2,0.6631,6.0,0.000000,100,0
9,2,0.6631,7.0,0.000000,100,0
9,2,0.6631,8.0,0.000000,100,0
9,2,0.6631,9.0,0.000000,100,0
10,4,0.3320,1.0,1.000000,100,100
10,4,0.3320,2.0,1.000000,100,100
10,4,0.3320,3.0,0.900000,100,90
10,4,0.3320,4.0,0.000000,100,0
10,4,0.3320,5.0,0.000000,100,0
10,4,0.3320,6.0,0.000000,100,0
10,4,0.3320,7.0,0.000000,100,0
10,4,0.3320,8.0,0.000000,100,0
10,4,0.3320,9.0,0.000000,100,0
10,4,0.3320,10.0,0.000000,100,0
11,4,0.3691,1.0,1.000000,100,100
11,4,0.3691,2.0,1.000000,100,100
11,4,0.3691,3.0,1.000000,100,100
11,4,0.3691,4.0,0.370000,100,37
11,4,0.3691,5.0,0.000000,100,0
11,4,0.3691,6.0,0.000000,100,0
11,4,0.3691,7.0,0.000000,100,0
11,4,0.3691,8.0,0.000000,100,0
11,4,0.3691,9.0,0.000000,100,0
11,4,0.3691,10.0,0.000000,100,0
12,4,0.4238,3.0,1.000000,100,100
12,4,0.4238,4.0,1.000000,100,100
12,4,0.4238,5.0,0.050000,100,5
12,4,0.4238,6.0,0.000000,100,0
12,4,0.4238,7.0,0.000000,100,0
12,4,0.4238,8.0,0.000000,100,0
12,4,0.4238,9.0,0.000000,100,0
12,4,0.4238,10.0,0.000000,100,0
12,4,0.4238,11.0,0.000000,100,0
