mcs,qm,rate,tbs,snr_db,bler,n_blocks,n_errors
3,2,0.2451,1928,-4.0,1.000000,40,40
3,2,0.2451,1928,-3.0,1.000000,40,40
3,2,0.2451,1928,-2.0,1.000000,40,40
3,2,0.2451,1928,-1.0,0.925000,40,37
3,2,0.2451,1928,0.0,0.035000,200,7
3,2,0.2451,1928,1.0,0.000000,100,0
3,2,0.2451,1928,2.0,0.000000,200,0
4,2,0.3008,2408,-2.0,1.000000,40,40
4,2,0.3008,2408,-1.0,1.000000,40,40
4,2,0.3008,2408,0.0,0.850000,40,34
4,2,0.3008,2408,1.0,0.000000,100,0
4,2,0.3008,2408,2.0,0.000000,200,0
5,2,0.3701,2976,-2.0,1.000000,40,40
5,2,0.3701,2976,-1.0,1.000000,40,40
5,2,0.3701,2976,0.0,1.000000,40,40
5,2,0.3701,2976,1.0,0.766667,60,46
5,2,0.3701,2976,2.0,0.000000,100,0
5,2,0.3701,2976,3.0,0.000000,200,0
6,2,0.4385,3496,-2.0,1.000000,40,40
6,2,0.4385,3496,-1.0,1.000000,40,40
6,2,0.4385,3496,0.0,1.000000,40,40
6,2,0.4385,3496,1.0,1.000000,40,40
6,2,0.4385,3496,2.0,0.550000,60,33
6,2,0.4385,3496,3.0,0.000000,100,0
6,2,0.4385,3496,4.0,0.000000,200,0
7,2,0.5137,3968,1.0,1.000000,40,40
7,2,0.5137,3968,2.0,1.000000,40,40
7,2,0.5137,3968,3.0,0.035000,200,7
7,2,0.5137,3968,4.0,0.000000,100,0
7,2,0.5137,3968,5.0,0.000000,200,0
8,2,0.5879,4608,1.0,1.000000,40,40
8,2,0.5879,4608,2.0,1.000000,40,40
8,2,0.5879,4608,3.0,1.000000,40,40
8,2,0.5879,4608,4.0,0.035000,200,7
8,2,0.5879,4608,5.0,0.000000,100,0
8,2,0.5879,4608,6.0,0.000000,200,0
9,2,0.6631,5120,1.0,1.000000,40,40
9,2,0.6631,5120,2.0,1.000000,40,40
9,2,0.6631,5120,3.0,1.000000,40,40
9,2,0.6631,5120,4.0,0.850000,40,34
9,2,0.6631,5120,5.0,0.000000,100,0
9,2,0.6631,5120,6.0,0.000000,200,0
11,4,0.3691,5760,3.0,1.000000,40,40
11,4,0.3691,5760,4.0,1.000000,40,40
11,4,0.3691,5760,5.0,1.000000,40,40
11,4,0.3691,5760,6.0,0.005000,200,1
11,4,0.3691,5760,7.0,0.000000,100,0
11,4,0.3691,5760,8.0,0.000000,200,0
12,4,0.4238,6528,3.0,1.000000,40,40
12,4,0.4238,6528,4.0,1.000000,40,40
12,4,0.4238,6528,5.0,1.000000,40,40
12,4,0.4238,6528,6.0,0.950000,40,38
12,4,0.4238,6528,7.0,0.000000,100,0
12,4,0.4238,6528,8.0,0.000000,200,0
13,4,0.4785,7424,6.0,1.000000,40,40
13,4,0.4785,7424,7.0,0.633333,60,38
13,4,0.4785,7424,8.0,0.000000,100,0
13,4,0.4785,7424,9.0,0.000000,200,0
