mcs,qm,rate,tbs,snr_db,bler,n_blocks,n_errors
0,2,0.1172,104,-10.0,1.000000,100,100
0,2,0.1172,104,-9.0,1.000000,100,100
0,2,0.1172,104,-8.0,1.000000,100,100
0,2,0.1172,104,-7.0,1.000000,100,100
0,2,0.1172,104,-6.0,1.000000,100,100
0,2,0.1172,104,-5.0,0.990100,101,100
0,2,0.1172,104,-4.0,0.869600,115,100
0,2,0.1172,104,-3.0,0.196900,508,100
0,2,0.1172,104,-2.0,0.004600,5000,23
0,2,0.1172,104,-1.0,0.000000,1000,0
0,2,0.1172,104,0.0,0.000000,1000,0
0,2,0.1172,104,1.0,0.000000,1000,0
0,2,0.1172,104,2.0,0.000000,1000,0
0,2,0.1172,104,3.0,0.000000,1000,0
0,2,0.1172,104,4.0,0.000000,1000,0
0,2,0.1172,104,5.0,0.000000,1000,0
0,2,0.1172,104,6.0,0.000000,1000,0
1,2,0.1885,176,-10.0,1.000000,100,100
1,2,0.1885,176,-9.0,1.000000,100,100
1,2,0.1885,176,-8.0,1.000000,100,100
1,2,0.1885,176,-7.0,1.000000,100,100
1,2,0.1885,176,-6.0,1.000000,100,100
1,2,0.1885,176,-5.0,1.000000,100,100
1,2,0.1885,176,-4.0,1.000000,100,100
1,2,0.1885,176,-3.0,1.000000,100,100
1,2,0.1885,176,-2.0,0.980400,102,100
1,2,0.1885,176,-1.0,0.401600,249,100
1,2,0.1885,176,0.0,0.006800,5000,34
1,2,0.1885,176,1.0,0.000000,1000,0
1,2,0.1885,176,2.0,0.000000,1000,0
1,2,0.1885,176,3.0,0.000000,1000,0
1,2,0.1885,176,4.0,0.000000,1000,0
1,2,0.1885,176,5.0,0.000000,1000,0
1,2,0.1885,176,6.0,0.000000,1000,0
2,2,0.3008,288,-6.0,1.000000,100,100
2,2,0.3008,288,-5.0,1.000000,100,100
2,2,0.3008,288,-4.0,1.000000,100,100
2,2,0.3008,288,-3.0,1.000000,100,100
2,2,0.3008,288,-2.0,1.000000,100,100
2,2,0.3008,288,-1.0,0.990100,101,100
2,2,0.3008,288,0.0,0.346000,289,100
2,2,0.3008,288,1.0,0.001800,5000,9
2,2,0.3008,288,2.0,0.000000,1000,0
2,2,0.3008,288,3.0,0.000000,1000,0
2,2,0.3008,288,4.0,0.000000,1000,0
2,2,0.3008,288,5.0,0.000000,1000,0
2,2,0.3008,288,6.0,0.000000,1000,0
2,2,0.3008,288,7.0,0.000000,1000,0
2,2,0.3008,288,8.0,0.000000,1000,0
2,2,0.3008,288,9.0,0.000000,1000,0
2,2,0.3008,288,10.0,0.000000,1000,0
3,2,0.4385,408,-6.0,1.000000,100,100
3,2,0.4385,408,-5.0,1.000000,100,100
3,2,0.4385,408,-4.0,1.000000,100,100
3,2,0.4385,408,-3.0,1.000000,100,100
3,2,0.4385,408,-2.0,1.000000,100,100
3,2,0.4385,408,-1.0,1.000000,100,100
3,2,0.4385,408,0.0,1.000000,100,100
3,2,0.4385,408,1.0,1.000000,100,100
3,2,0.4385,408,2.0,0.434800,230,100
3,2,0.4385,408,3.0,0.000000,1000,0
3,2,0.4385,408,4.0,0.000000,1000,0
3,2,0.4385,408,5.0,0.000000,1000,0
3,2,0.4385,408,6.0,0.000000,1000,0
3,2,0.4385,408,7.0,0.000000,1000,0
3,2,0.4385,408,8.0,0.000000,1000,0
3,2,0.4385,408,9.0,0.000000,1000,0
3,2,0.4385,408,10.0,0.000000,1000,0
4,2,0.5879,552,-4.0,1.000000,100,100
4,2,0.5879,552,-3.0,1.000000,100,100
4,2,0.5879,552,-2.0,1.000000,100,100
4,2,0.5879,552,-1.0,1.000000,100,100
4,2,0.5879,552,0.0,1.000000,100,100
4,2,0.5879,552,1.0,0.990100,101,100
4,2,0.5879,552,2.0,1.000000,100,100
4,2,0.5879,552,3.0,0.666700,150,100
4,2,0.5879,552,4.0,0.003400,5000,17
4,2,0.5879,552,5.0,0.000000,1000,0
4,2,0.5879,552,6.0,0.000000,1000,0
4,2,0.5879,552,7.0,0.000000,1000,0
4,2,0.5879,552,8.0,0.000000,1000,0
4,2,0.5879,552,9.0,0.000000,1000,0
4,2,0.5879,552,10.0,0.000000,1000,0
4,2,0.5879,552,11.0,0.000000,1000,0
4,2,0.5879,552,12.0,0.000000,1000,0
5,4,0.3691,704,0.0,1.000000,100,100
5,4,0.3691,704,1.0,1.000000,100,100
5,4,0.3691,704,2.0,1.000000,100,100
5,4,0.3691,704,3.0,1.000000,100,100
5,4,0.3691,704,4.0,1.000000,100,100
5,4,0.3691,704,5.0,0.243300,411,100
5,4,0.3691,704,6.0,0.001000,5000,5
5,4,0.3691,704,7.0,0.000000,1000,0
5,4,0.3691,704,8.0,0.000000,1000,0
5,4,0.3691,704,9.0,0.000000,1000,0
5,4,0.3691,704,10.0,0.000000,1000,0
5,4,0.3691,704,11.0,0.000000,1000,0
5,4,0.3691,704,12.0,0.000000,1000,0
5,4,0.3691,704,13.0,0.000000,1000,0
5,4,0.3691,704,14.0,0.000000,1000,0
5,4,0.3691,704,15.0,0.000000,1000,0
5,4,0.3691,704,16.0,0.000000,1000,0
6,4,0.4238,808,0.0,1.000000,100,100
6,4,0.4238,808,1.0,1.000000,100,100
6,4,0.4238,808,2.0,1.000000,100,100
6,4,0.4238,808,3.0,1.000000,100,100
6,4,0.4238,808,4.0,1.000000,100,100
6,4,0.4238,808,5.0,0.934600,107,100
6,4,0.4238,808,6.0,0.056300,1777,100
6,4,0.4238,808,7.0,0.000000,1000,0
6,4,0.4238,808,8.0,0.000000,1000,0
6,4,0.4238,808,9.0,0.000000,1000,0
6,4,0.4238,808,10.0,0.000000,1000,0
6,4,0.4238,808,11.0,0.000000,1000,0
6,4,0.4238,808,12.0,0.000000,1000,0
6,4,0.4238,808,13.0,0.000000,1000,0
6,4,0.4238,808,14.0,0.000000,1000,0
6,4,0.4238,808,15.0,0.000000,1000,0
6,4,0.4238,808,16.0,0.000000,1000,0
7,4,0.4785,888,0.0,1.000000,100,100
7,4,0.4785,888,1.0,1.000000,100,100
7,4,0.4785,888,2.0,1.000000,100,100
7,4,0.4785,888,3.0,1.000000,100,100
7,4,0.4785,888,4.0,1.000000,100,100
7,4,0.4785,888,5.0,1.000000,100,100
7,4,0.4785,888,6.0,0.740700,135,100
7,4,0.4785,888,7.0,0.006200,5000,31
7,4,0.4785,888,8.0,0.000000,1000,0
7,4,0.4785,888,9.0,0.000000,1000,0
7,4,0.4785,888,10.0,0.000000,1000,0
7,4,0.4785,888,11.0,0.000000,1000,0
7,4,0.4785,888,12.0,0.000000,1000,0
7,4,0.4785,888,13.0,0.000000,1000,0
7,4,0.4785,888,14.0,0.000000,1000,0
7,4,0.4785,888,15.0,0.000000,1000,0
7,4,0.4785,888,16.0,0.000000,1000,0
8,4,0.5400,1032,2.0,1.000000,100,100
8,4,0.5400,1032,3.0,1.000000,100,100
8,4,0.5400,1032,4.0,1.000000,100,100
8,4,0.5400,1032,5.0,1.000000,100,100
8,4,0.5400,1032,6.0,0.990100,101,100
8,4,0.5400,1032,7.0,0.763400,131,100
8,4,0.5400,1032,8.0,0.000800,5000,4
8,4,0.5400,1032,9.0,0.000000,1000,0
8,4,0.5400,1032,10.0,0.000000,1000,0
8,4,0.5400,1032,11.0,0.000000,1000,0
8,4,0.5400,1032,12.0,0.000000,1000,0
8,4,0.5400,1032,13.0,0.000000,1000,0
8,4,0.5400,1032,14.0,0.000000,1000,0
8,4,0.5400,1032,15.0,0.000000,1000,0
8,4,0.5400,1032,16.0,0.000000,1000,0
8,4,0.5400,1032,17.0,0.000000,1000,0
8,4,0.5400,1032,18.0,0.000000,1000,0
9,4,0.6016,1128,2.0,1.000000,100,100
9,4,0.6016,1128,3.0,1.000000,100,100
9,4,0.6016,1128,4.0,1.000000,100,100
9,4,0.6016,1128,5.0,1.000000,100,100
9,4,0.6016,1128,6.0,0.990100,101,100
9,4,0.6016,1128,7.0,1.000000,100,100
9,4,0.6016,1128,8.0,0.500000,200,100
9,4,0.6016,1128,9.0,0.000200,5000,1
9,4,0.6016,1128,10.0,0.000000,1000,0
9,4,0.6016,1128,11.0,0.000000,1000,0
9,4,0.6016,1128,12.0,0.000000,1000,0
9,4,0.6016,1128,13.0,0.000000,1000,0
9,4,0.6016,1128,14.0,0.000000,1000,0
9,4,0.6016,1128,15.0,0.000000,1000,0
9,4,0.6016,1128,16.0,0.000000,1000,0
9,4,0.6016,1128,17.0,0.000000,1000,0
9,4,0.6016,1128,18.0,0.000000,1000,0
10,4,0.6426,1224,2.0,1.000000,100,100
10,4,0.6426,1224,3.0,1.000000,100,100
10,4,0.6426,1224,4.0,1.000000,100,100
10,4,0.6426,1224,5.0,0.990100,101,100
10,4,0.6426,1224,6.0,1.000000,100,100
10,4,0.6426,1224,7.0,1.000000,100,100
10,4,0.6426,1224,8.0,1.000000,100,100
10,4,0.6426,1224,9.0,0.135100,740,100
10,4,0.6426,1224,10.0,0.000000,1000,0
10,4,0.6426,1224,11.0,0.000000,1000,0
10,4,0.6426,1224,12.0,0.000000,1000,0
10,4,0.6426,1224,13.0,0.000000,1000,0
10,4,0.6426,1224,14.0,0.000000,1000,0
10,4,0.6426,1224,15.0,0.000000,1000,0
10,4,0.6426,1224,16.0,0.000000,1000,0
10,4,0.6426,1224,17.0,0.000000,1000,0
10,4,0.6426,1224,18.0,0.000000,1000,0
11,6,0.4551,1288,4.0,1.000000,100,100
11,6,0.4551,1288,5.0,1.000000,100,100
11,6,0.4551,1288,6.0,1.000000,100,100
11,6,0.4551,1288,7.0,1.000000,100,100
11,6,0.4551,1288,8.0,1.000000,100,100
11,6,0.4551,1288,9.0,1.000000,100,100
11,6,0.4551,1288,10.0,0.990100,101,100
11,6,0.4551,1288,11.0,0.023100,4321,100
11,6,0.4551,1288,12.0,0.000000,1000,0
11,6,0.4551,1288,13.0,0.000000,1000,0
11,6,0.4551,1288,14.0,0.000000,1000,0
11,6,0.4551,1288,15.0,0.000000,1000,0
11,6,0.4551,1288,16.0,0.000000,1000,0
11,6,0.4551,1288,17.0,0.000000,1000,0
11,6,0.4551,1288,18.0,0.000000,1000,0
11,6,0.4551,1288,19.0,0.000000,1000,0
11,6,0.4551,1288,20.0,0.000000,1000,0
11,6,0.4551,1288,21.0,0.000000,1000,0
11,6,0.4551,1288,22.0,0.000000,1000,0
12,6,0.5049,1416,4.0,1.000000,100,100
12,6,0.5049,1416,5.0,1.000000,100,100
12,6,0.5049,1416,6.0,1.000000,100,100
12,6,0.5049,1416,7.0,1.000000,100,100
12,6,0.5049,1416,8.0,1.000000,100,100
12,6,0.5049,1416,9.0,1.000000,100,100
12,6,0.5049,1416,10.0,1.000000,100,100
12,6,0.5049,1416,11.0,0.800000,125,100
12,6,0.5049,1416,12.0,0.001800,5000,9
12,6,0.5049,1416,13.0,0.000000,1000,0
12,6,0.5049,1416,14.0,0.000000,1000,0
12,6,0.5049,1416,15.0,0.000000,1000,0
12,6,0.5049,1416,16.0,0.000000,1000,0
12,6,0.5049,1416,17.0,0.000000,1000,0
12,6,0.5049,1416,18.0,0.000000,1000,0
12,6,0.5049,1416,19.0,0.000000,1000,0
12,6,0.5049,1416,20.0,0.000000,1000,0
12,6,0.5049,1416,21.0,0.000000,1000,0
12,6,0.5049,1416,22.0,0.000000,1000,0
13,6,0.5537,1608,4.0,1.000000,100,100
13,6,0.5537,1608,5.0,1.000000,100,100
13,6,0.5537,1608,6.0,1.000000,100,100
13,6,0.5537,1608,7.0,1.000000,100,100
13,6,0.5537,1608,8.0,1.000000,100,100
13,6,0.5537,1608,9.0,0.990100,101,100
13,6,0.5537,1608,10.0,1.000000,100,100
13,6,0.5537,1608,11.0,1.000000,100,100
13,6,0.5537,1608,12.0,0.833300,120,100
13,6,0.5537,1608,13.0,0.000600,5000,3
13,6,0.5537,1608,14.0,0.000000,1000,0
13,6,0.5537,1608,15.0,0.000000,1000,0
13,6,0.5537,1608,16.0,0.000000,1000,0
13,6,0.5537,1608,17.0,0.000000,1000,0
13,6,0.5537,1608,18.0,0.000000,1000,0
13,6,0.5537,1608,19.0,0.000000,1000,0
