mcs,qm,rate,tbs,snr_db,bler,n_blocks,n_errors
2,2,0.3008,288,-6.0,1.000000,400,400
2,2,0.3008,288,-4.0,1.000000,400,400
2,2,0.3008,288,-2.0,0.875000,400,350
2,2,0.3008,288,0.0,0.000500,2000,1
2,2,0.3008,288,2.0,0.000000,2000,0
3,2,0.4385,408,-6.0,1.000000,400,400
3,2,0.4385,408,-4.0,1.000000,400,400
3,2,0.4385,408,-2.0,1.000000,400,400
3,2,0.4385,408,0.0,0.827500,400,331
3,2,0.4385,408,2.0,0.000000,2000,0
4,2,0.5879,552,-4.0,1.000000,400,400
4,2,0.5879,552,-2.0,1.000000,400,400
4,2,0.5879,552,0.0,1.000000,400,400
4,2,0.5879,552,2.0,0.787500,400,315
4,2,0.5879,552,4.0,0.000000,2000,0
5,4,0.3691,704,0.0,1.000000,400,400
5,4,0.3691,704,2.0,1.000000,400,400
5,4,0.3691,704,4.0,0.620000,400,248
5,4,0.3691,704,6.0,0.000000,2000,0
6,4,0.4238,808,0.0,1.000000,400,400
6,4,0.4238,808,2.0,1.000000,400,400
6,4,0.4238,808,4.0,1.000000,400,400
6,4,0.4238,808,6.0,0.002500,2000,5
6,4,0.4238,808,8.0,0.000000,2000,0
7,4,0.4785,888,0.0,1.000000,400,400
7,4,0.4785,888,2.0,1.000000,400,400
7,4,0.4785,888,4.0,1.000000,400,400
7,4,0.4785,888,6.0,0.265000,400,106
7,4,0.4785,888,8.0,0.000000,2000,0
8,4,0.5400,1032,2.0,1.000000,400,400
8,4,0.5400,1032,4.0,1.000000,400,400
8,4,0.5400,1032,6.0,1.000000,400,400
8,4,0.5400,1032,8.0,0.002000,2000,4
8,4,0.5400,1032,10.0,0.000000,2000,0
9,4,0.6016,1128,2.0,1.000000,400,400
9,4,0.6016,1128,4.0,1.000000,400,400
9,4,0.6016,1128,6.0,1.000000,400,400
9,4,0.6016,1128,8.0,0.355000,400,142
9,4,0.6016,1128,10.0,0.000000,2000,0
10,4,0.6426,1224,2.0,0.997500,400,399
10,4,0.6426,1224,4.0,1.000000,400,400
10,4,0.6426,1224,6.0,1.000000,400,400
10,4,0.6426,1224,8.0,0.987500,400,395
10,4,0.6426,1224,10.0,0.000000,2000,0
11,6,0.4551,1288,4.0,1.000000,400,400
