mcs,qm,rate,tbs,snr_db,bler,n_blocks,n_errors
2,2,0.3008,288,-2.3,0.970000,400,388
2,2,0.3008,288,-1.3,0.292500,400,117
2,2,0.3008,288,-0.3,0.006333,3000,19
2,2,0.3008,288,0.7,0.000000,3000,0
4,2,0.5879,552,0.9,1.000000,400,400
4,2,0.5879,552,1.9,0.877500,400,351
4,2,0.5879,552,2.9,0.054375,1600,87
4,2,0.5879,552,3.9,0.000000,3000,0
7,4,0.4785,888,3.9,1.000000,400,400
7,4,0.4785,888,4.9,0.997500,400,399
7,4,0.4785,888,5.9,0.382500,400,153
7,4,0.4785,888,6.9,0.000333,3000,1
7,4,0.4785,888,7.9,0.000000,3000,0
9,4,0.6016,1128,5.8,1.000000,400,400
9,4,0.6016,1128,6.8,1.000000,400,400
9,4,0.6016,1128,7.8,0.640000,400,256
9,4,0.6016,1128,8.8,0.001000,3000,3
9,4,0.6016,1128,9.8,0.000000,3000,0
10,4,0.6426,1224,6.3,1.000000,400,400
10,4,0.6426,1224,7.3,1.000000,400,400
10,4,0.6426,1224,8.3,0.922500,400,369
10,4,0.6426,1224,9.3,0.024333,3000,73
10,4,0.6426,1224,10.3,0.000000,3000,0
11,6,0.4551,1288,7.9,1.000000,400,400
11,6,0.4551,1288,8.9,0.987500,400,395
11,6,0.4551,1288,9.9,0.146250,800,117
11,6,0.4551,1288,10.9,0.000000,3000,0
13,6,0.5537,1608,9.9,1.000000,400,400
13,6,0.5537,1608,10.9,1.000000,400,400
13,6,0.5537,1608,11.9,0.577500,400,231
13,6,0.5537,1608,12.9,0.001333,3000,4
13,6,0.5537,1608,13.9,0.000000,3000,0
15,6,0.6504,1864,11.4,1.000000,400,400
15,6,0.6504,1864,12.4,1.000000,400,400
15,6,0.6504,1864,13.4,0.822500,400,329
15,6,0.6504,1864,14.4,0.005333,3000,16
15,6,0.6504,1864,15.4,0.000000,3000,0
18,6,0.8027,2280,13.9,1.000000,400,400
18,6,0.8027,2280,14.9,1.000000,400,400
18,6,0.8027,2280,15.9,0.995000,400,398
18,6,0.8027,2280,16.9,0.055000,1600,88
18,6,0.8027,2280,17.9,0.000000,3000,0
20,8,0.6665,2472,15.9,1.000000,400,400
20,8,0.6665,2472,16.9,1.000000,400,400
20,8,0.6665,2472,17.9,0.912500,400,365
20,8,0.6665,2472,18.9,0.013667,3000,41
20,8,0.6665,2472,19.9,0.000000,3000,0
22,8,0.7363,2792,17.9,1.000000,400,400
22,8,0.7363,2792,18.9,1.000000,400,400
22,8,0.7363,2792,19.9,0.817500,400,327
22,8,0.7363,2792,20.9,0.001667,3000,5
