MCS,Modulation,CodeRate,Qm,SINR_dB,Blocks,Errors,BLER
2,QPSK,0.188477,2,-8.00,200,200,1.000000
2,QPSK,0.188477,2,-6.00,200,200,1.000000
2,QPSK,0.188477,2,-4.00,200,128,0.640000
2,QPSK,0.188477,2,-2.00,600,0,0.000000
3,QPSK,0.245117,2,-8.00,200,200,1.000000
3,QPSK,0.245117,2,-6.00,200,200,1.000000
3,QPSK,0.245117,2,-4.00,200,199,0.995000
3,QPSK,0.245117,2,-2.00,800,55,0.068750
3,QPSK,0.245117,2,0.00,600,0,0.000000
4,QPSK,0.300781,2,-4.00,200,200,1.000000
4,QPSK,0.300781,2,-2.00,200,170,0.850000
4,QPSK,0.300781,2,0.00,2000,1,0.000500
4,QPSK,0.300781,2,2.00,600,0,0.000000
5,QPSK,0.370117,2,-4.00,200,200,1.000000
5,QPSK,0.370117,2,-2.00,200,200,1.000000
5,QPSK,0.370117,2,0.00,400,64,0.160000
5,QPSK,0.370117,2,2.00,600,0,0.000000
6,QPSK,0.438477,2,0.00,200,162,0.810000
6,QPSK,0.438477,2,2.00,600,0,0.000000
7,QPSK,0.513672,2,0.00,200,200,1.000000
7,QPSK,0.513672,2,2.00,1800,56,0.031111
7,QPSK,0.513672,2,4.00,600,0,0.000000
8,QPSK,0.587891,2,2.00,200,163,0.815000
8,QPSK,0.587891,2,4.00,600,0,0.000000
9,QPSK,0.663086,2,2.00,200,200,1.000000
9,QPSK,0.663086,2,4.00,1200,54,0.045000
9,QPSK,0.663086,2,6.00,600,0,0.000000
10,16QAM,0.332031,4,2.00,200,200,1.000000
10,16QAM,0.332031,4,4.00,600,51,0.085000
10,16QAM,0.332031,4,6.00,600,0,0.000000
11,16QAM,0.369141,4,2.00,200,200,1.000000
11,16QAM,0.369141,4,4.00,200,130,0.650000
11,16QAM,0.369141,4,6.00,600,0,0.000000
12,16QAM,0.423828,4,6.00,2000,7,0.003500
12,16QAM,0.423828,4,8.00,600,0,0.000000
13,16QAM,0.478516,4,6.00,200,56,0.280000
13,16QAM,0.478516,4,8.00,600,0,0.000000
14,16QAM,0.540039,4,6.00,200,200,1.000000
14,16QAM,0.540039,4,8.00,2000,4,0.002000
14,16QAM,0.540039,4,10.00,600,0,0.000000
15,16QAM,0.601562,4,8.00,200,72,0.360000
15,16QAM,0.601562,4,10.00,600,0,0.000000
16,16QAM,0.642578,4,8.00,200,200,1.000000
16,16QAM,0.642578,4,10.00,600,0,0.000000
17,64QAM,0.427734,6,8.00,200,200,1.000000
17,64QAM,0.427734,6,10.00,2000,7,0.003500
17,64QAM,0.427734,6,12.00,600,0,0.000000
18,64QAM,0.455078,6,8.00,200,200,1.000000
18,64QAM,0.455078,6,10.00,600,52,0.086667
18,64QAM,0.455078,6,12.00,600,0,0.000000
19,64QAM,0.504883,6,10.00,200,197,0.985000
19,64QAM,0.504883,6,12.00,600,0,0.000000
20,64QAM,0.553711,6,10.00,200,200,1.000000
20,64QAM,0.553711,6,12.00,200,70,0.350000
20,64QAM,0.553711,6,14.00,600,0,0.000000
21,64QAM,0.601562,6,10.00,200,200,1.000000
21,64QAM,0.601562,6,12.00,200,199,0.995000
21,64QAM,0.601562,6,14.00,600,0,0.000000
22,64QAM,0.650391,6,13.00,200,200,1.000000
22,64QAM,0.650391,6,15.00,600,0,0.000000
23,64QAM,0.702148,6,13.00,200,200,1.000000
23,64QAM,0.702148,6,15.00,400,57,0.142500
23,64QAM,0.702148,6,17.00,600,0,0.000000
24,64QAM,0.753906,6,13.00,200,200,1.000000
24,64QAM,0.753906,6,15.00,200,199,0.995000
24,64QAM,0.753906,6,17.00,600,0,0.000000
25,64QAM,0.802734,6,16.00,200,198,0.990000
25,64QAM,0.802734,6,18.00,600,0,0.000000
26,64QAM,0.852539,6,16.00,200,200,1.000000
26,64QAM,0.852539,6,18.00,2000,55,0.027500
26,64QAM,0.852539,6,20.00,600,0,0.000000
27,64QAM,0.888672,6,16.00,200,200,1.000000
27,64QAM,0.888672,6,18.00,200,102,0.510000
27,64QAM,0.888672,6,20.00,600,0,0.000000
